name,locationName,websiteUrl
Maggie's Cafe,Barrio Logan,https://maggiescafe2014.com/
Uncle Bear's Brewery,Gilbert,http://www.unclebearsaz.com
Droidcon Toast Café,Droidcon 2019,http://pos.toasttab.com
Living Green Cafe,East Boca,http://www.livinggreencafe.com
La Palapa Too,Maple Lawn,http://lapalapatoo.com
V Bistro,,https://www.vbistromn.com
Umi Sushi Kitchen,,https://umispokane.com/
Tinto & Tapas,,http://www.tintoandtapas.com
Bodhi Federal Hill,,https://bodhifedhill.com
Red Face Jacks,,http://www.redfacejacks.com
Wayfare Tavern,,https://wayfaretavern.com
Pure Taqueria,Woodstock,https://www.puretaqueria.com
Ancora Coffee,University Ave,http://www.ancoracafes.com/university-ave/
Appalachian Tea,,https://www.appalachiantea.com/
Rodney Corner Cafe,,http://www.rodneycorner.com
Olive Bistro,Midtown,https://www.olivebistro.com/
National Mechanics,,https://www.nationalmechanics.com/
The Original Pancake House,Birmingham,http://www.oph-mi.com
Hat Rock Cafe,,https://www.hatrockinn.com
Pancho's Vegan Tacos,Tropicana,http://www.vegantacos.net
Travelers Table,,http://www.travelerstable.com
Pulp Fiction,Lakeside,http://www.pulpfictionrva.com
Eat Brgz,,http://www.eatbrgz.com
CALA,,https://www.calarestaurant.com/
Togo's,340491 - San Jose-San Pedro,http://togos.com
Kiki,College Hill,http://www.kikicincinnati.com
Thai Spoon Las Vegas,,https://thaispoonlasvegas.com
Ruby Juice,,https://rubyjuicecheyenne.blogspot.com/?fbclid=IwAR3_xEIlPPXBDsOutio-2cOER4sHUkOZcltiBVc_IhkVRUFWNyvWT2vMwAk
Orofino,,http://www.orofinorestaurant.com
PEPPAS JERK CHICKEN,PEPPAS JERK CHICKEN,https://www.peppasonline.com
Noble Smoke BBQ,,http://www.noblesmokebbq.com
Annex 25,,http://www.annex25.com
100 Fires,South Durango,http://www.100firescaribbean.com
Piper Inn,,http://piperinn.com
Dolce Restaurant & Wine Bar,Westmont,http://www.dolcewestmont.com
Ma Gloria's Trinidad Restaurant & Catering,,https://www.magloriastrinidadcatering.com/
MoJoe's Burger Joint,Glenwood South Raleigh,https://mojoesburgerjoint.com/
FSK 0011,Los Angeles - West Pico Blvd,http://www.eatlospolloshermanos.com
Dock Local Uptown,,http://thedocktexas.com
Meat Bar,,https://meatbarrestaurant.com/
La Fontana Steakhouse,,https://lafontanasteakhouse.com
ROKU,ROKU,https://rokusunset.com
Nostalgia Brewing,,https://www.nostalgiabrewing.com
Sampa's Pizza Lomita,Lomita,http://www.sampaspizza.com
Teas'n You,Teas'n You Tysons Corner,http://www.teasnyou.com
Togo's,Demo,http://togos.com
Atlantic City Sub Shops,,https://www.atlanticcitysubshops.com/
Nourish Coffee Bar + Kitchen,,http://www.NourishCHWB.com
Caja Caliente,Coral Gables,http://www.caja-caliente.com
Soup N Burger,Emmons Ave,http://www.soupnburger.com
Coszcal De Allende,,http://www.coszcal.com
Uptown Sushi,,https://www.uptown-sushi.com
Roy-Pitz Beer Stube,,http://www.thestube.com
Primeval Brewing,,http://primevalbrewco.com/
The Chicken Rice,,http://www.thechickenrice.us
PourMyBeer Test Restaurant,,https://pourmybeer.com
Rakuten Ramen,New concept of drive through ramen,http://www.rakutenramen.com
Joey's Kendal Tavern,,http://joeyskendaltavern.com
Roll Play,Roll Play Tysons Corner,http://www.rollplaygrill.com
Red Monkey Downtown,Red Monkey Walla Walla,https://redmonkeydowntown.com/
JT Schmid's Restaurant & Brewery,Anaheim,http://www.jtschmidsrestaurants.com
The Verandah,Wilmington,http://www.theverandahkitchen.com
Chow Wok,Dairy Ashford,http://www.chowwoktx.com
Condesa,,https://www.condesaphilly.com/
Zia Maria Bakery & Cafe,,http://www.ziamariasbakery.com
Island Fin Poke,Las Vegas,https://www.islandfinpoke.com/menu
SHIOK!,Torrance,https://www.shiokeats.com/
Irondequoit Beer Company,,http://irondequoitbeercompany.com
Frothy Monkey,Franklin,http://www.frothymonkey.com
The Boston Sail Loft,,http://www.thebostonsailloft.com
Bravo Pizza,Santa Maria,https://bravopizzadelivery.com
Lucy's Sauggy Dollar Bar,,http://www.sauggydollarbar.com
Ponderosa Steakhouse,Scottsburg,http://www.pondotogo.com
Schnitzel Plus,Englewood,http://www.schnitzelplus.com/
Mouton's Bistro & Bar,Cedar Park,http://www.moutonsbistro.com/cedar-park/
Route 66 Taco Company,,https://www.route66tacoco.net/
Frothy Monkey,Downtown Nashville,http://www.frothymonkey.com
Frothy Monkey,Southside.,https://www.frothymonkey.com
Kuro-Obi,Essex Crossing,https://kuroobi.nyc/
Real McCoy's,,http://www.realmccoysnc.com
Connie's Chicken and Waffles DeCo,,http://www.connieschickenandwaffles.com
Pasta Moon,,http://www.pastamoon.com
Taco Love Grill - White Marsh,White Marsh,http://www.tacolovegrill.com
Childers Eatery,Humboldt,https://www.childerseatery.com/
BackSpin Indoor Golf & Bar,,https://www.golfbackspin.com/
Kitchen for the Soul,,http://kitchenforthesoulatx.com
The New York Bagel Factory,Coral Springs,https://www.newyorkbagelfactory.com
Grateful Biscuits & Pizza,,https://www.gratefulbiscuits.com/
Raag Progressive Indian Cuisine,Minneapolis MN,http://www.raagindiancuisine.com/
Butterfly Burger,,http://www.butterflyburger.com
Green Hills Grille,,http://ghgrille.com
Marigold Cafe,,http://www.marigoldabq.com
The Pasta House,,http://thepastahouse.net
Loaded Links,,http://www.loadedlinks.com
EPAREPA Cafe & Bistro,Doral,http://www.eparepa.com
Viggiano's on Sunset,Cape May NJ,https://viggianosbyob.com/
Arte Pizzeria,,https://www.artepizzeria.com
Brother's Pizzeria,Newport,https://www.brotherspizzerianewport.com
aioli South End,South End,http://www.aioliwpb.com
Lickety Split Casual Dining,Atlanta (Near Airport),http://www.licketysplitdining.com/
Pure Taqueria,Duluth,https://www.puretaqueria.com
Burger Village,San Luis Obispo,http://burgervillage.com
Hollywood Pizza Cafe,Hollywood,http://www.hollywoodpizzacafe.com
The Monroe Grill,,http://www.theMONROEgrill.com
Saigon Cafe,Duluth,http://www.saigoncafeusa.com
Taps Bar & Grill,Austell,https://tapsbargrill.com/
Soul Gastrolounge,,http://www.soulgastrolounge.com
BAPS!,,http://www.bapsrestaurant.com
Triple Bottom Brewing Company,915 Spring Garden Street,http://www.triplebottombrewing.com
THB Bagelry + Deli,Timonium,http://www.eatTHB.com
More Than Java Cafe,Bethesda,https://www.morethanjavacafe.com
108 Sports Lounge,108,http://www.108sportslounge.com
Giovanni's Bar and Restaurant,Giovanni's Bar and Restaurant,http://giovannisbarandrestaurant.com/
Crepes a la Cart,,http://www.crepesalacartnola.com
Flambeau Forest Inn,,http://www.flambeauforestinn.net
Maximiliano,Highland Park,http://maximilianohp.com/
Farmer's Table,Boca Raton,http://www.farmerstableboca.com
Landmark,,https://www.landmarkcleveland.com
Corner Juice,Downtown,http://www.cornerjuice.com
Sushiato,Brickell,http://www.sushi-ato.com
Crushed Pizzeria,Chicago,http://www.crushedpizzeria.com
UKraft,Clayton,https://www.ukrafteats.com/
Bricco,Pub,https://www.pubbricco.com/
Simply Slices,Mokena,http://www.simplyslices.com
Les Amis Restaurant,,http://www.lesamisrestaurant.com
Whim Wine Bar,,https://www.whimwinebar.com/
Kai,,http://www.kaiphilly.com
Tomé Catering,,http://www.tomecatering.com
Redwood Grill,,http://www.rwgrill.com
Sumiao Hunan Kitchen,,https://www.sumiaohunan.com/
Anchor Up Cafe,,https://www.anchorupcafe.com
Maggie's Cafe,Greyling Dr,https://maggiescafe2014.com/
Lonesome Buck Brewing Co.,"Greeley, CO",http://www.lonesomebuck.com
Stewart's Rootbeer,,http://www.stewartslb.com
Good Cakes and Bakes,Livernois,http://www.goodcakesandbakes.com
Joe Donut,Glenview,https://joedonut.com/
Revival Hall Taproom,,http://www.revivalhall.com
Mezcalito's Cocina & Tequila Bar,Grant Park,http://www.mezcalitoscocina.com
Parma Tavern,,http://parmarustictavern.com/
Highline,,https://www.highlineseattle.com/
Stone Hut Bar and Grill,Stone Hut Neighborhood Bar,https://stonehutbar.com/
Bite Food & Coffee Co.,Broadway BEING REBUILT,http://www.bitefoodcoffee.com
Flavors of Nawab,,http://www.flavorsofnawab.com
The Jellyfish Restaurant & Bar,Perdido Key,https://www.thejellyfishbar.com/
Meals From The Heart Cafe,NOLA,http://www.mealsfromtheheartcafe.com
The Big Easy,Ybor City,http://thebigeasybar.com/
Carbon - Coal Fired Pit Beef,at the Graze Provisions + Libations Food and Drink Hall,https://carbonpitbeef.com
Helen's Asian Fusion Bar,,http://www.helensnewyork.com
Merchant Cafe,New Orleans,http://www.merchantneworleans.com/
DOMINIC'S PIZZA,,http://www.dominicspizza.biz
Urban Cookhouse,Montgomery,https://www.urbancookhouse.com
Bo's BBQ,,http://www.bosbreakfastandbbq.com
Bravo Pizza,Lompoc,https://www.bravopizzadelivery.com
District North,,https://district-north.com
Two Cafe and Boutique,,http://www.twocafeandboutique.com/
Amsterdam Cafe,,http://www.amsterdamcafeauburn.com
The Grainery,Plain City,https://www.thegraineryplaincity.com/
Corner Juice,University,http://www.cornerjuice.com
Rock N Roll Sushi,McDonough GA (OLD),http://www.rnrsushi.com
PopoJito,,https://popojito.com
Trophy Tap + Table,Downtown,https://www.trophybrewing.com/tap-table-menu
Renna's Pizza,Jax Beach,http://www.rennaspizza.com/
The Rathskeller,,http://rathskellermd.com
Togo's,332020 - Anaheim-E. Katella,http://togos.com
The Walnut Kitchen,,https://www.thewalnutkitchen.com/
Bionic Burger,2404 S Meridian,http://www.bionic-burger.com
I C Juicy Ice Cream Roll & Bubble Tea,,http://icjuicy.com
Magic Cup Cafe,Magic Cup Richardson,https://www.magiccupcafe.com
THB Bagelry + Deli,Canton,http://www.eatTHB.com
Olive and Twist,,http://www.oliveandtwist.rocks
NATIONS - Frothy Monkey,The Nations,https://www.frothymonkey.com
Nhinjo South Western,South Western,https://www.nhinjo.com
Milwaukee Ale House,Third Ward,http://ale-house.com/
Apollonia,,http://www.apolloniabk.com
East of Omaha,,https://eastofomaha.com/
Some Burros,9 - Rural Rd,http://someburros.com
Vicky Cafe Doral,Doral,http://www.vickybakery.com
Cane A Sucre,Downtown,https://caneasucredowntown.com/
IT! Italy,Las Olas Boulevard,http://ititaly.us/
Togo's,Paylast Internal,http://togos.com
"Restaurant, Pub & Games",,https://rpglawrence.com
Celebrate Cafe,,http://www.celebratecafeny.com/index.html
Tonic at Quigleys,Foggy Bottom,http://tonicrestaurantdc.com/
212 Pizza Co.,,https://212pizzaco.com
Rose & Lois,,http://www.roseandlois.com
What's for Doner,,http://www.wfdoner.com/
Higher Ground Coffee Co.,Martin,http://www.highergroundcoffee.com
Pago,,http://www.pagoslc.com
Don Tequila Bar and Restaurant,817 blackwood clementon rd,https://www.dontequilanj.com/#/
La Masa Empanada Bar,,https://lamasaempanadas.com/
Mudrock's Tap & Tavern,,http://mudrockstapandtavern.com
Italia Gardens,Oxford,https://www.italiagardensoxford.com
More Than Pasta,Park Ridge,http://morethanpasta.com/
Colorado Taproom & Grill,,http://50Taps.com
Big Acai Des Moines,Food Truck,https://www.bigacaibowl.com
Riddim N Spice,,https://www.riddimnspice.com
1.Deccan Spice,Jersey City,http://www.deccanspice.com
SOCIETY #1001 - Cherry Street,,http://societyburger.com
Tern Club,,https://www.ternclub.com/
1st Avenue Taphouse,K Town Food Service,http://www.tapkalispell.com
Chef Tony's Seafood Restaurant,"Bethesda, MD",http://www.cheftonysbethesda.com
Tony's Baltimore Grill,Atlantic City,http://www.tonysbaltimoregrillAC.com
Chow Daddy's,Chow Daddy's - Hilton Head,http://www.chowdaddys.com/
The Original JJ Twigs Pizza,Palatine- "Next to the Tracks!",http://www.jjtwigspalatine.com
The '401 Table and Tap,,https://www.the401bellaire.com/
Palmyra Pub and Eatery,,https://palmyrapub.com/
Flat & Point,,https://www.flatandpoint.com/
Truffles Cafe,Truffles - Hilton Head,http://trufflescafe.com/
Beach Tavern,,http://www.beachtavern.net
Scarlet Kitchen and Lounge,Sendero Marketplace,https://scarletkl.com
St. Elmo Brewing Company,,http://www.stelmobrewing.com
Boondocks Sports Grill,,http://www.boondockson71.com
Cult Taco,,https://www.culttaco.com
On Charcoal,,https://www.orderstart.com/oncharcoal
Germantown Pub,,https://www.thegermantownpub.com/
Abettor Brewing Company,,http://www.abettorbeer.com/
BonFire Grill,Tomball,https://www.bonfiregrill.net/
CEVICHE PROJECT,,http://www.cevicheproject.com
Picnic Provisions & Whiskey,,https://nolapicnic.com/
Henbit,,https://henbitaustin.com/
Capitol Creek Brewery,Basalt,http://capitolcreekbrewery.com/
Rock N Roll Sushi,Stockbridge,http://www.rnrsushi.com
Zarda Bar-B-Q,Lenexa,https://zarda.com/
Nhinja Sushi,N May,https://www.nhinja.com
Pastifico 601,,http://www.pasta601.com
Little Donkey,Little Donkey Homewood,http://thelittledonkey.com/
Cobb's Landing,FT Pierce City Marina,https://www.cobbs-landing.com
The Bungalow Alehouse,Ashburn,http://www.bungalow4u.com
Egg Harbor Cafe,Johns Creek,https://www.eggharborcafe.com/
GRAPE + BEAN,ROSEMONT,https://www.grapeandbean.com/pages/Rosemont.html
The West End,Hyannis,http://www.westendhyannis.com
Homemade Taqueria,Maspeth,http://www.homemadetaqueria.com/menu/
Egg Harbor Cafe,Schaumburg,https://www.eggharborcafe.com/
Park Avenue Grill,Amityville Village,http://www.parkavenuegrill.net
Rain City Burgers,,http://www.raincityburgers.com
Daily Jam,Mayo,https://mydailyjam.com
The Waffle Lab,Olive Street,http://www.thewafflelab.com
Warehouse 72,Houston,http://main.warehouse72.com
Dented Keg Brewing Company,,https://www.dentedkeg.com/
Dempsey's Seafood & Steak Restaurant,,https://eatatdempseys.com
August Rhodes,,http://augustrhodesmarket.com
Colorado Coffee Company,Boyd Lake,https://coloradocoffeecompany.com
Mama's Boy Burgers,,http://www.mamasboyburgers.com
Garry's Grill & Catering,,http://www.garrysgrill.com
Mid City Grill,,http://www.midcitygrilljc.com
Terramar Brewing & Distilling,,http://terramarcraft.com
92nd Street Cafe,,http://letsdo92.com
Subworks Deli,,http://www.subworksdeli.com
Union Restaurant,Pasadena,https://unionpasadena.com/
Siegfried's Restaurant and Bier Garden,,https://www.siegfrieds-restaurant.com/
Illegal Pete's,Northside,http://www.illegalpetes.com
Pepper Twins,West Gray,http://txpeppertwins.com
Unleavened Fresh Kitchen,Lake Highlands,http://unleavened.com/
Spahr's Seafood,Des Allemands,http://www.spahrsseafood.com
Candlelight Inn,Rock Falls,https://www.candlelightinnrestaurant.com/
Unleavened Fresh Kitchen,Lakewood,http://unleavened.com/
Phubs,"DECO - Wilmington, DE",http://www.eatphubs.com
JuneShine,Old Grove Road,http://www.juneshine.co
Napoli Wood Fired Pizza & Bakery,,https://www.napoliwoodfiredpizzaandbakery.com
SouthBites Coffee Bar,,http://southbitesatx.com
Magpie Cafe & Coffeehouse,,http://www.mymagpiecoffee.com/
Fill-Up With Billups,Pass Christian,https://www.fillupwithbillups.com
Leku Ona,,http://www.lekuonaid.com/
Paper Doll,Loft Entertainment District,http://www.paperdollbar.com
Tin Angel,S. Main St.,http://www.thetinangel.com
SAVOR GOURMET MARKET & CAFE,,http://www.savorgourmetmarket.com
Sprout,Baggot St,https://www.sproutfoodco.com/
Bollywood Masala,California,http://www.bollywoodmasalacalifornia.com
The Vegan Choice,Midtown Miami,http://www.tvcorg.com/
Brewery Vivant,,http://www.breweryvivant.com
Coppermill Steakhouse,Kearney,http://www.coppermillsteakhouse-kearney.com
Franco's On the Go,Copper Fiddle,http://www.francospescheria.com
El Huapango Mexican Restuarant,Grimes,http://elhuapango.com
DJ'S Pizza Pub,,https://www.djspizzapub.com/
Lavash Cafe,Clintonville,https://www.lavashcafe.com
Broward Center for the Performing Arts F&B,BCPA,https://www.bcfbblog.com/broward-center
Don Campiti's Pizzeria,"Dormont, PA",http://campspizza.com/
Lulu's BBQ,Louisville,http://www.lulus-bbq.com
Uahi Island Grill,,http://www.uahiislandgrill.com
Das Ethiopian Cuisine,,http://www.dasethiopian.com
Spicy Moon Vegetarian Szechuan,East Village,http://www.spicymoonnyc.com
Wildfire Pizza,,http://www.wildfirepizzallc.com
Encore Saloon,,http://www.encoresaloon.com
Twisted Burger,Twisted Burger Grayslake,http://www.twistedburgeronline.com
Mario's Fishbowl,,http://www.mariosfishbowl.com
Ocala Breeders' Sales,,https://www.obssales.com/
BERKLEY BEER COMPANY,,https://www.berkleybeer.com/
Aziza,,http://www.aziza-restaurant.com
Mordecai's On Main,,https://www.mordecaisonmain.com
Charred: A Steak & Oyster Bar,,https://www.CharredOS.com
Joe's Griddle 'n Grill,Joe's Griddle & Grill,https://www.joesdinerroute11.com
Saigon Cafe,Lawrenceville,http://www.saigoncafeusa.com
Moutons Southern Bistro,Leander,http://www.moutonsbistro.com/leander/
Nucleus Raw Foods,Wilkes-Barre,https://www.nucleusrawfoods.com/
Illegal Pete's,Mill,http://www.illegalpetes.com
Next Round Bar & Grill,DTSA,http://www.nextroundsa.com
Egg Harbor Cafe,Streeterville,https://www.eggharborcafe.com/
Milanese Pizza,,https://www.milanesepizza.net/
Wekiva Island,,https://wekivaisland.com
Island Fin Poke,Wesley Chapel -Tampa,https://www.islandfinpoke.com/menu
S.W.D.R Grill Inc DBA Bud & Alleys,,http://www.budandalleys.com
Crosswalk Coffeehouse & Cafe,,http://www.crosswalkcoffee.com
Capitol City Brewery,Washington DC,http://www.capcitybrew.com
Watertown Brewing Company,,http://www.watertownbrewing.com/
Roundabout Grill,,http://www.roundaboutgrill.com/
Spring Street Cafe,,https://www.springstcafe.com/
Cuckoo's Nest,,https://www.cuckoosnest.biz
Collective - Theo's Doughnuts,,https://www.theosdoughnuts.com/
Lost Dog Cafe,Alexandria,https://www.lostdogcafe.com/
Urbana Garden Family Restaurant,,http://www.urbanagardenrestaurant.com
Wingbucket,"McKinney, TX",http://www.wingbucket.com
Squid Ink,"Mobile, AL",https://squidinkeats.com/
The Hub Coffee House & Cafe,West Main Street,http://www.thehubcoffeehousencafe.com
Cornbread,Greensburg,http://cornbreadsoul.com/
Nucleus Raw Foods,Luzerne,https://www.nucleusrawfoods.com/
Play. Wash. Pint.,,http://www.playwashpint.com
Redbird,,http://www.redbirdatl.com
Mizu Izakaya,,https://www.mizudenver.com/
Pizza Artista,"420A W Prien Lake Rd, Lake Charles",https://www.pizzaartista.com
BOA,BOASM,https://boasteak.com
Wong's Wok,,http://wongswokwashpa.com/index.html
Fausto,Fausto,http://www.faustoatthecac.com
Fatty's Taphouse,Fredericksburg,http://www.fattystaphouse.com
aioli Downton,Downtown,http://www.aioliwpb.com
Tailgate Tavern & Grill,,http://www.tailgatetavern.com
Kalaya,,http://www.Kalaya.net
Gangnam Ramen,Glenview,https://gangnamramen.co
SOCIETY #1002 - Mingo,,http://societyburger.com
Racanelli's Pizza,CWE,https://www.racanellis.com
Nick's Cage'n Gastro Pub,Independence Hall,http://www.grinderhousecoffeeshop.com
Pizza Artista,Broussard,https://www.pizzaartista.com/Broussard
Meric's Woodfire Oven & Tavern,,https://www.mericswoodfire.com/
"Mammoth Rock 'n' Bowl, Brasserie & Lounge",,https://www.mammothrocknbowl.com/
Salvadoreno Restaurant #4,,https://salvadorenorestaurant.com/menu/
Craft Pita,,http://www.craftpita.com
Racanelli's Pizza,Kirkwood,http://www.racanellis.com
Pizza Lab,,https://eatpizzalab.com
Market Line,Essex Pearl,https://www.essexpearl.com/
Purple Orchid,Hollywood,http://www.purpleorchidmiami.com
Grill 445,,http://www.grill445.com
Hilltop Coffee + Kitchen,Slauson,https://www.findyourhilltop.com/
Village Idiot Pizza,Five Points,http://villageidiotpizza.com
Good Land Wing Co,Port Washington,http://www.goodlandwingco.com
Thai Ginger,Factoria,http://www.thaiginger.com
Gunwhale Ales,Orange,http://www.Gunwhaleales.com
Tuckerbox,,http://www.tuckerboxvermont.com/
Wild Tacoz,"7167 Lee Highway Falls Church, VA 22046",https://koolfoods.com/
SK's Pizza & Sub,,http://www.skpizzasubs.com
"Inferno Pizza, Pasta & Wings",,http://www.eatinfernopizza.com
The Curb Bar and Grill,,https://curbbarandgrill.com/
Roast House Pub & Restaurant,Pawtucket,http://www.theroasthouse.com
Cheshire Pizza & Ale,,http://www.cheshirepizza.com
Burger Village,Hicksville,http://www.burgervillage.com
5 Burro Cafe,Forest Hills NY,http://www.5burrocafe.com
BriteSmith Brewing,,https://www.britesmithbrewing.com/
Armin & Judy,Bridgehampton,http://www.arminandjudy.com
Bon Bon’s Coffee Company,Maplecrest,http://www.bonbonscoffee.com
The Ugly Tuna 2,Chittenden,https://www.uglytunasaloona.com/
Via Veneto Ristorante Brick,Brick,http://ViaVenetoRistorante.com
Resurgence Brewing Company,Chicago St.,http://www.resurgencebrewing.com
Paci's Dining Room and Lounge,,http://www.pacisdiningroom.com
Trubble Brewing,Broadway,https://www.trubblebrewing.com/
9th St. Nook,,http://www.9thstreetnook.com
Two Brothers Chicken,Woodbridge,https://www.twobrotherschicken.com
Sen Organic Small Plate,,http://www.senorganicsmallplate.com
Taco Rock,Rosslyn,https://thetacorock.com
BOOTSTRAP COFFEE ROASTERS,,https://www.bootstrapcoffeeroasters.com/
Egg Tuck & Bon Bon Tap,Koreatown,http://www.eggtuck.com
Lyles BBQ Company,,https://www.lylesbbqcompany.com
Shelly's Kindred Fare,,http://www.shellyskindredfare.com
Illegal Pete's,Broadway,http://www.illegalpetes.com
Shaker & Peel,,http://www.shakerandpeel
The Ridge Market & Cafe,,https://ridgecafe.com/
Vesta Trattoria And Wine Bar,,https://vestavino.com/
Avenue kitchen + bar,Somerville,http://www.avenuesomerville.com
The Iron Horse,,http://www.theironhorse.com
Pure Project,Bankers Hill,http://www.purebrewing.org
Milwaukee Street Pizza,Janesville,http://www.milwaukeestreetpizza.com
Towne Restaurant,Towne Restaurant,https://www.towneonallen.com
Paragon,,http://www.paragonseattle.com
Gott's Roadside,St. Helena,http://www.gotts.com
Zalat - Demo / Test account,TEST,https://zalatpizza.com/
Groundswell Surf Cafe,,https://www.groundswellsurfcafe.com/
Wokology,,http://wok-ology.com
Scargo Cafe,,http://www.ScargoCafe.com
Lucy's Lounge,Ramada East Syracuse,http://www.syrhotel.com
Bibuta,,https://www.eatbibuta.com/
Soul Bowl,Graze,http://www.soulbowlmn.com
Vistro,,https://vistrorestaurant.com/
Port Edward Restaurant,,https://www.portedward.com
The Kitchen @ Stonebrier,,https://www.thekitchenatsb.com/
Ardent,,http://www.ardentmke.com
